291	698	LATIN SMALL LETTER G WITH CEDILLA
292	188	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
293	400	LATIN SMALL LETTER H WITH CIRCUMFLEX
294	1374	LATIN CAPITAL LETTER H WITH STROKE
295	374	LATIN SMALL LETTER H WITH STROKE
296	63	LATIN CAPITAL LETTER I WITH TILDE
297	520	LATIN SMALL LETTER I WITH TILDE
298	219	LATIN CAPITAL LETTER I WITH MACRON
299	10085	LATIN SMALL LETTER I WITH MACRON
300	77	LATIN CAPITAL LETTER I WITH BREVE
301	307	LATIN SMALL LETTER I WITH BREVE
302	27	LATIN CAPITAL LETTER I WITH OGONEK
303	440	LATIN SMALL LETTER I WITH OGONEK
304	323411	LATIN CAPITAL LETTER I WITH DOT ABOVE
305	2102089	LATIN SMALL LETTER DOTLESS I
307	3	LATIN SMALL LIGATURE IJ
308	294	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
309	86	LATIN SMALL LETTER J WITH CIRCUMFLEX
310	367	LATIN CAPITAL LETTER K WITH CEDILLA
311	1434	LATIN SMALL LETTER K WITH CEDILLA
312	1290	LATIN SMALL LETTER KRA
313	166	LATIN CAPITAL LETTER L WITH ACUTE
314	103	LATIN SMALL LETTER L WITH ACUTE
315	200	LATIN CAPITAL LETTER L WITH CEDILLA
316	1977	LATIN SMALL LETTER L WITH CEDILLA
317	188	LATIN CAPITAL LETTER L WITH CARON
318	138	LATIN SMALL LETTER L WITH CARON
319	142	LATIN CAPITAL LETTER L WITH MIDDLE DOT
320	22	LATIN SMALL LETTER L WITH MIDDLE DOT
321	5280	LATIN CAPITAL LETTER L WITH STROKE
322	41402	LATIN SMALL LETTER L WITH STROKE
323	474	LATIN CAPITAL LETTER N WITH ACUTE
324	3761	LATIN SMALL LETTER N WITH ACUTE
325	135	LATIN CAPITAL LETTER N WITH CEDILLA
326	2477	LATIN SMALL LETTER N WITH CEDILLA
327	101	LATIN CAPITAL LETTER N WITH CARON
328	887	LATIN SMALL LETTER N WITH CARON
329	76	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
330	101	LATIN CAPITAL LETTER ENG
331	467	LATIN SMALL LETTER ENG
332	219	LATIN CAPITAL LETTER O WITH MACRON
333	719	LATIN SMALL LETTER O WITH MACRON
334	346	LATIN CAPITAL LETTER O WITH BREVE
335	1244	LATIN SMALL LETTER O WITH BREVE
336	1406	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
337	1785	LATIN SMALL LETTER O WITH DOUBLE ACUTE
338	274	LATIN CAPITAL LIGATURE OE
339	4767	LATIN SMALL LIGATURE OE
340	58	LATIN CAPITAL LETTER R WITH ACUTE
341	85	LATIN SMALL LETTER R WITH ACUTE
342	32	LATIN CAPITAL LETTER R WITH CEDILLA
343	113	LATIN SMALL LETTER R WITH CEDILLA
